,date,name,value
1820,2019-07,South Ozone Park,659
1821,2019-07,South Williamsburg,234
1822,2019-07,Springfield Gardens North,509
1823,2019-07,Springfield Gardens South,208
1824,2019-07,Spuyten Duyvil/Kingsbridge,835
1825,2019-07,Stapleton,16
1826,2019-07,Starrett City,700
1827,2019-07,Steinway,5266
1828,2019-07,Stuy Town/Peter Cooper Village,6
1829,2019-07,Stuyvesant Heights,2072
1830,2019-07,Sunnyside,3324
1831,2019-07,Sunset Park East,435
1832,2019-07,Sunset Park West,773
1833,2019-07,Sutton Place/Turtle Bay North,8
1834,2019-07,Times Sq/Theatre District,2
1835,2019-07,TriBeCa/Civic Center,5
1836,2019-07,Two Bridges/Seward Park,11
1837,2019-07,UN/Turtle Bay South,13
1838,2019-07,Union Sq,1
1839,2019-07,University Heights/Morris Heights,1004
1840,2019-07,Upper East Side North,938
1841,2019-07,Upper East Side South,6
1842,2019-07,Upper West Side North,5
1843,2019-07,Van Cortlandt Park,89
1844,2019-07,Van Cortlandt Village,586
1845,2019-07,Van Nest/Morris Park,1812
1846,2019-07,Washington Heights North,2297
1847,2019-07,Washington Heights South,12042
1848,2019-07,West Brighton,3
1849,2019-07,West Chelsea/Hudson Yards,3
1850,2019-07,West Concourse,2416
1851,2019-07,West Farms/Bronx River,528
1852,2019-07,Westchester Village/Unionport,689
1853,2019-07,Westerleigh,2
1854,2019-07,Whitestone,156
1855,2019-07,Willets Point,103
1856,2019-07,Williamsbridge/Olinville,1073
1857,2019-07,Williamsburg (North Side),5754
1858,2019-07,Williamsburg (South Side),2161
1859,2019-07,Windsor Terrace,334
1860,2019-07,Woodhaven,341
1861,2019-07,Woodlawn/Wakefield,503
1862,2019-07,Woodside,10928
1863,2019-07,World Trade Center,10
1864,2019-07,Yorkville East,13
1865,2019-07,Yorkville West,274
1866,2019-08,Allerton/Pelham Gardens,448
1867,2019-08,Alphabet City,2
1868,2019-08,Arden Heights,1
1869,2019-08,Arrochar/Fort Wadsworth,3
1870,2019-08,Astoria,17758
1871,2019-08,Astoria Park,30
1872,2019-08,Auburndale,266
1873,2019-08,Baisley Park,545
1874,2019-08,Bath Beach,257
1875,2019-08,Battery Park,4
1876,2019-08,Battery Park City,8
1877,2019-08,Bay Ridge,1207
1878,2019-08,Bay Terrace/Fort Totten,167
1879,2019-08,Bayside,353
1880,2019-08,Bedford,2712
1881,2019-08,Bedford Park,765
1882,2019-08,Bellerose,194
1883,2019-08,Belmont,475
1884,2019-08,Bensonhurst East,519
1885,2019-08,Bensonhurst West,671
1886,2019-08,Bloomfield/Emerson Hill,22
1887,2019-08,Bloomingdale,1518
1888,2019-08,Boerum Hill,7794
1889,2019-08,Borough Park,752
1890,2019-08,Breezy Point/Fort Tilden/Riis Beach,33
1891,2019-08,Briarwood/Jamaica Hills,641
1892,2019-08,Brighton Beach,668
1893,2019-08,Broad Channel,13
1894,2019-08,Bronx Park,187
1895,2019-08,Bronxdale,520
1896,2019-08,Brooklyn Heights,10080
1897,2019-08,Brooklyn Navy Yard,117
1898,2019-08,Brownsville,1715
1899,2019-08,Bushwick North,1201
1900,2019-08,Bushwick South,1179
1901,2019-08,Cambria Heights,263
1902,2019-08,Canarsie,1616
1903,2019-08,Carroll Gardens,1567
1904,2019-08,Central Harlem,24768
1905,2019-08,Central Harlem North,15481
1906,2019-08,Central Park,4602
1907,2019-08,Charleston/Tottenville,3
1908,2019-08,Chinatown,10
1909,2019-08,City Island,136
1910,2019-08,Claremont/Bathgate,624
1911,2019-08,Clinton East,1
1912,2019-08,Clinton Hill,3636
1913,2019-08,Clinton West,5
1914,2019-08,Co-Op City,1325
1915,2019-08,Cobble Hill,3264
1916,2019-08,College Point,165
1917,2019-08,Columbia Street,137
1918,2019-08,Coney Island,2096
1919,2019-08,Corona,2604
1920,2019-08,Country Club,69
1921,2019-08,Crotona Park,39
1922,2019-08,Crotona Park East,469
1923,2019-08,Crown Heights North,4625
1924,2019-08,Crown Heights South,1176
1925,2019-08,Cypress Hills,426
1926,2019-08,DUMBO/Vinegar Hill,8232
1927,2019-08,Douglaston,115
1928,2019-08,Downtown Brooklyn/MetroTech,9360
1929,2019-08,Dyker Heights,255
1930,2019-08,East Chelsea,7
1931,2019-08,East Concourse/Concourse Village,1885
1932,2019-08,East Elmhurst,587
1933,2019-08,East Flatbush/Farragut,1204
1934,2019-08,East Flatbush/Remsen Village,1253
1935,2019-08,East Flushing,113
1936,2019-08,East Harlem North,36773
1937,2019-08,East Harlem South,27314
1938,2019-08,East New York,2444
1939,2019-08,East New York/Pennsylvania Avenue,561
1940,2019-08,East Tremont,850
1941,2019-08,East Village,4
1942,2019-08,East Williamsburg,2350
1943,2019-08,Eastchester,561
1944,2019-08,Elmhurst,22054
1945,2019-08,Elmhurst/Maspeth,2755
1946,2019-08,Erasmus,690
1947,2019-08,Far Rockaway,415
1948,2019-08,Financial District North,5
1949,2019-08,Financial District South,11
1950,2019-08,Flatbush/Ditmas Park,1983
1951,2019-08,Flatiron,4
1952,2019-08,Flatlands,1273
1953,2019-08,Flushing,4020
1954,2019-08,Flushing Meadows-Corona Park,4214
1955,2019-08,Fordham South,352
1956,2019-08,Forest Hills,13858
1957,2019-08,Forest Park/Highland Park,56
1958,2019-08,Fort Greene,12515
1959,2019-08,Fresh Meadows,158
1960,2019-08,Garment District,1
1961,2019-08,Glen Oaks,158
1962,2019-08,Glendale,353
1963,2019-08,Gowanus,774
1964,2019-08,Gramercy,2
1965,2019-08,Gravesend,500
1966,2019-08,Great Kills,4
1967,2019-08,Green-Wood Cemetery,10
1968,2019-08,Greenpoint,2114
1969,2019-08,Greenwich Village North,9
1970,2019-08,Grymes Hill/Clifton,60
1971,2019-08,Hamilton Heights,6681
1972,2019-08,Hammels/Arverne,524
1973,2019-08,Heartland Village/Todt Hill,6
1974,2019-08,Highbridge,994
1975,2019-08,Highbridge Park,56
1976,2019-08,Hillcrest/Pomonok,690
1977,2019-08,Hollis,396
1978,2019-08,Homecrest,676
1979,2019-08,Howard Beach,246
1980,2019-08,Hunts Point,507
1981,2019-08,Inwood,1262
1982,2019-08,Inwood Hill Park,90
1983,2019-08,JFK Airport,62
1984,2019-08,Jackson Heights,12488
1985,2019-08,Jamaica,8126
1986,2019-08,Jamaica Bay,7
1987,2019-08,Jamaica Estates,501
1988,2019-08,Kensington,425
1989,2019-08,Kew Gardens,3631
1990,2019-08,Kew Gardens Hills,371
1991,2019-08,Kingsbridge Heights,834
1992,2019-08,Kips Bay,17
1993,2019-08,LaGuardia Airport,91
1994,2019-08,Laurelton,306
1995,2019-08,Lenox Hill East,12
1996,2019-08,Lincoln Square East,3
1997,2019-08,Lincoln Square West,4
1998,2019-08,Long Island City/Hunters Point,4009
1999,2019-08,Long Island City/Queens Plaza,1971
2000,2019-08,Longwood,529
2001,2019-08,Lower East Side,3
2002,2019-08,Madison,392
2003,2019-08,Manhattan Beach,321
2004,2019-08,Manhattan Valley,6
2005,2019-08,Manhattanville,3441
2006,2019-08,Marble Hill,244
2007,2019-08,Marine Park/Floyd Bennett Field,46
2008,2019-08,Marine Park/Mill Basin,753
2009,2019-08,Mariners Harbor,55
2010,2019-08,Maspeth,395
2011,2019-08,Meatpacking/West Village West,1
2012,2019-08,Melrose South,1795
2013,2019-08,Middle Village,287
2014,2019-08,Midtown Center,7
2015,2019-08,Midtown East,1
2016,2019-08,Midtown North,1
2017,2019-08,Midtown South,10
2018,2019-08,Midwood,813
2019,2019-08,Morningside Heights,15076
2020,2019-08,Morrisania/Melrose,815
2021,2019-08,Mott Haven/Port Morris,1732
2022,2019-08,Mount Hope,846
2023,2019-08,Murray Hill,19
2024,2019-08,Murray Hill-Queens,377
2025,2019-08,New Dorp/Midland Beach,5
2026,2019-08,Newark Airport,5
2027,2019-08,North Corona,1394
2028,2019-08,Norwood,1225
2029,2019-08,Oakland Gardens,126
2030,2019-08,Oakwood,6
2031,2019-08,Ocean Hill,1050
2032,2019-08,Ocean Parkway South,201
2033,2019-08,Old Astoria,2607
2034,2019-08,Ozone Park,110
2035,2019-08,Park Slope,7058
2036,2019-08,Parkchester,1180
2037,2019-08,Pelham Bay,333
2038,2019-08,Pelham Bay Park,60
2039,2019-08,Pelham Parkway,671
2040,2019-08,Penn Station/Madison Sq West,3
2041,2019-08,Port Richmond,3
2042,2019-08,Prospect Heights,945
2043,2019-08,Prospect Park,262
2044,2019-08,Prospect-Lefferts Gardens,2470
2045,2019-08,Queens Village,497
2046,2019-08,Queensboro Hill,481
2047,2019-08,Queensbridge/Ravenswood,1694
2048,2019-08,Randalls Island,62
2049,2019-08,Red Hook,660
2050,2019-08,Rego Park,4047
2051,2019-08,Richmond Hill,1132
2052,2019-08,Ridgewood,399
2053,2019-08,Riverdale/North Riverdale/Fieldston,352
2054,2019-08,Rockaway Park,106
2055,2019-08,Roosevelt Island,86
2056,2019-08,Rosedale,298
2057,2019-08,Saint Albans,1008
2058,2019-08,Saint George/New Brighton,25
2059,2019-08,Saint Michaels Cemetery/Woodside,54
2060,2019-08,Schuylerville/Edgewater Park,490
2061,2019-08,Seaport,1
2062,2019-08,Sheepshead Bay,1899
2063,2019-08,Soundview/Bruckner,1010
2064,2019-08,Soundview/Castle Hill,1379
2065,2019-08,South Beach/Dongan Hills,8
2066,2019-08,South Jamaica,706
2067,2019-08,South Ozone Park,731
2068,2019-08,South Williamsburg,256
2069,2019-08,Springfield Gardens North,572
2070,2019-08,Springfield Gardens South,241
2071,2019-08,Spuyten Duyvil/Kingsbridge,834
2072,2019-08,Stapleton,14
2073,2019-08,Starrett City,705
2074,2019-08,Steinway,4760
2075,2019-08,Stuy Town/Peter Cooper Village,5
2076,2019-08,Stuyvesant Heights,2162
2077,2019-08,Sunnyside,3277
2078,2019-08,Sunset Park East,378
2079,2019-08,Sunset Park West,650
2080,2019-08,Sutton Place/Turtle Bay North,4
2081,2019-08,Times Sq/Theatre District,5
2082,2019-08,TriBeCa/Civic Center,3
2083,2019-08,Two Bridges/Seward Park,19
2084,2019-08,UN/Turtle Bay South,5
2085,2019-08,Union Sq,3
2086,2019-08,University Heights/Morris Heights,973
2087,2019-08,Upper East Side North,860
2088,2019-08,Upper West Side North,6
2089,2019-08,Upper West Side South,5
2090,2019-08,Van Cortlandt Park,83
2091,2019-08,Van Cortlandt Village,531
2092,2019-08,Van Nest/Morris Park,1903
2093,2019-08,Washington Heights North,2187
2094,2019-08,Washington Heights South,11320
2095,2019-08,West Brighton,1
2096,2019-08,West Chelsea/Hudson Yards,3
2097,2019-08,West Concourse,2514
2098,2019-08,West Farms/Bronx River,536
2099,2019-08,West Village,2
2100,2019-08,Westchester Village/Unionport,733
2101,2019-08,Westerleigh,3
2102,2019-08,Whitestone,172
2103,2019-08,Willets Point,161
2104,2019-08,Williamsbridge/Olinville,1042
2105,2019-08,Williamsburg (North Side),5365
2106,2019-08,Williamsburg (South Side),2169
2107,2019-08,Windsor Terrace,264
2108,2019-08,Woodhaven,328
2109,2019-08,Woodlawn/Wakefield,491
2110,2019-08,Woodside,10029
2111,2019-08,World Trade Center,13
2112,2019-08,Yorkville East,21
2113,2019-08,Yorkville West,267
2114,2019-09,Allerton/Pelham Gardens,422
2115,2019-09,Alphabet City,41
2116,2019-09,Arrochar/Fort Wadsworth,2
2117,2019-09,Astoria,18232
2118,2019-09,Astoria Park,5
2119,2019-09,Auburndale,244
2120,2019-09,Baisley Park,552
2121,2019-09,Bath Beach,295
2122,2019-09,Battery Park,3
2123,2019-09,Battery Park City,18
2124,2019-09,Bay Ridge,1239
2125,2019-09,Bay Terrace/Fort Totten,158
2126,2019-09,Bayside,329
2127,2019-09,Bedford,2781
2128,2019-09,Bedford Park,763
2129,2019-09,Bellerose,187
2130,2019-09,Belmont,522
2131,2019-09,Bensonhurst East,558
2132,2019-09,Bensonhurst West,734
2133,2019-09,Bloomfield/Emerson Hill,27
2134,2019-09,Bloomingdale,1622
2135,2019-09,Boerum Hill,7488
2136,2019-09,Borough Park,884
2137,2019-09,Breezy Point/Fort Tilden/Riis Beach,12
2138,2019-09,Briarwood/Jamaica Hills,655
2139,2019-09,Brighton Beach,652
2140,2019-09,Broad Channel,16
2141,2019-09,Bronx Park,224
2142,2019-09,Bronxdale,512
2143,2019-09,Brooklyn Heights,10606
2144,2019-09,Brooklyn Navy Yard,120
2145,2019-09,Brownsville,1786
2146,2019-09,Bushwick North,1205
2147,2019-09,Bushwick South,1233
2148,2019-09,Cambria Heights,252
2149,2019-09,Canarsie,1664
2150,2019-09,Carroll Gardens,1696
2151,2019-09,Central Harlem,22983
2152,2019-09,Central Harlem North,14666
2153,2019-09,Central Park,4578
2154,2019-09,Charleston/Tottenville,2
2155,2019-09,Chinatown,111
2156,2019-09,City Island,119
2157,2019-09,Claremont/Bathgate,629
2158,2019-09,Clinton East,80
2159,2019-09,Clinton Hill,3386
2160,2019-09,Clinton West,50
2161,2019-09,Co-Op City,1355
2162,2019-09,Cobble Hill,3514
2163,2019-09,College Point,174
2164,2019-09,Columbia Street,167
2165,2019-09,Coney Island,1824
2166,2019-09,Corona,2642
2167,2019-09,Country Club,60
2168,2019-09,Crotona Park,30
2169,2019-09,Crotona Park East,473
2170,2019-09,Crown Heights North,4379
2171,2019-09,Crown Heights South,1106
2172,2019-09,Cypress Hills,444
2173,2019-09,DUMBO/Vinegar Hill,7894
2174,2019-09,Douglaston,114
2175,2019-09,Downtown Brooklyn/MetroTech,9669
2176,2019-09,Dyker Heights,268
2177,2019-09,East Chelsea,71
2178,2019-09,East Concourse/Concourse Village,1793
2179,2019-09,East Elmhurst,544
2180,2019-09,East Flatbush/Farragut,1167
2181,2019-09,East Flatbush/Remsen Village,1287
2182,2019-09,East Flushing,134
2183,2019-09,East Harlem North,37269
2184,2019-09,East Harlem South,27179
2185,2019-09,East New York,2734
2186,2019-09,East New York/Pennsylvania Avenue,719
2187,2019-09,East Tremont,841
2188,2019-09,East Village,33
2189,2019-09,East Williamsburg,2856
2190,2019-09,Eastchester,609
2191,2019-09,Elmhurst,20405
2192,2019-09,Elmhurst/Maspeth,2502
2193,2019-09,Eltingville/Annadale/Prince's Bay,1
2194,2019-09,Erasmus,772
2195,2019-09,Far Rockaway,385
2196,2019-09,Financial District North,55
2197,2019-09,Financial District South,36
2198,2019-09,Flatbush/Ditmas Park,2037
2199,2019-09,Flatiron,48
2200,2019-09,Flatlands,1345
2201,2019-09,Flushing,3994
2202,2019-09,Flushing Meadows-Corona Park,5011
2203,2019-09,Fordham South,402
2204,2019-09,Forest Hills,13572
2205,2019-09,Forest Park/Highland Park,49
2206,2019-09,Fort Greene,11833
2207,2019-09,Fresh Meadows,159
2208,2019-09,Garment District,33
2209,2019-09,Glen Oaks,140
2210,2019-09,Glendale,322
2211,2019-09,Gowanus,732
2212,2019-09,Gramercy,80
2213,2019-09,Gravesend,517
2214,2019-09,Great Kills,3
2215,2019-09,Green-Wood Cemetery,14
2216,2019-09,Greenpoint,1951
2217,2019-09,Greenwich Village North,36
2218,2019-09,Greenwich Village South,12
2219,2019-09,Grymes Hill/Clifton,50
2220,2019-09,Hamilton Heights,6238
2221,2019-09,Hammels/Arverne,588
2222,2019-09,Heartland Village/Todt Hill,12
2223,2019-09,Highbridge,888
2224,2019-09,Highbridge Park,52
2225,2019-09,Hillcrest/Pomonok,744
2226,2019-09,Hollis,432
2227,2019-09,Homecrest,674
2228,2019-09,Howard Beach,208
2229,2019-09,Hudson Sq,14
2230,2019-09,Hunts Point,494
2231,2019-09,Inwood,1226
2232,2019-09,Inwood Hill Park,93
2233,2019-09,JFK Airport,78
2234,2019-09,Jackson Heights,12180
2235,2019-09,Jamaica,8182
2236,2019-09,Jamaica Bay,7
2237,2019-09,Jamaica Estates,470
2238,2019-09,Kensington,443
2239,2019-09,Kew Gardens,3749
2240,2019-09,Kew Gardens Hills,478
2241,2019-09,Kingsbridge Heights,901
2242,2019-09,Kips Bay,199
2243,2019-09,LaGuardia Airport,88
2244,2019-09,Laurelton,352
2245,2019-09,Lenox Hill East,207
2246,2019-09,Lenox Hill West,93
2247,2019-09,Lincoln Square East,47
2248,2019-09,Lincoln Square West,46
2249,2019-09,Little Italy/NoLiTa,23
2250,2019-09,Long Island City/Hunters Point,3225
2251,2019-09,Long Island City/Queens Plaza,1791
2252,2019-09,Longwood,452
2253,2019-09,Lower East Side,26
2254,2019-09,Madison,423
2255,2019-09,Manhattan Beach,360
2256,2019-09,Manhattan Valley,96
2257,2019-09,Manhattanville,3128
2258,2019-09,Marble Hill,228
2259,2019-09,Marine Park/Floyd Bennett Field,34
2260,2019-09,Marine Park/Mill Basin,862
2261,2019-09,Mariners Harbor,46
2262,2019-09,Maspeth,460
2263,2019-09,Meatpacking/West Village West,6
2264,2019-09,Melrose South,1562
2265,2019-09,Middle Village,294
2266,2019-09,Midtown Center,35
2267,2019-09,Midtown East,48
2268,2019-09,Midtown North,30
2269,2019-09,Midtown South,29
2270,2019-09,Midwood,948
2271,2019-09,Morningside Heights,17090
2272,2019-09,Morrisania/Melrose,761
2273,2019-09,Mott Haven/Port Morris,1754
2274,2019-09,Mount Hope,815
2275,2019-09,Murray Hill,144
2276,2019-09,Murray Hill-Queens,338
2277,2019-09,New Dorp/Midland Beach,1
2278,2019-09,Newark Airport,5
2279,2019-09,North Corona,1365
2280,2019-09,Norwood,1233
2281,2019-09,Oakland Gardens,146
2282,2019-09,Oakwood,4
2283,2019-09,Ocean Hill,1153
2284,2019-09,Ocean Parkway South,203
2285,2019-09,Old Astoria,2533
2286,2019-09,Ozone Park,141
2287,2019-09,Park Slope,7092
2288,2019-09,Parkchester,1083
2289,2019-09,Pelham Bay,298
2290,2019-09,Pelham Bay Park,31
2291,2019-09,Pelham Parkway,675
2292,2019-09,Penn Station/Madison Sq West,41
2293,2019-09,Port Richmond,7
2294,2019-09,Prospect Heights,884
2295,2019-09,Prospect Park,311
2296,2019-09,Prospect-Lefferts Gardens,2358
2297,2019-09,Queens Village,468
2298,2019-09,Queensboro Hill,426
2299,2019-09,Queensbridge/Ravenswood,1637
2300,2019-09,Randalls Island,86
2301,2019-09,Red Hook,890
2302,2019-09,Rego Park,4042
2303,2019-09,Richmond Hill,1095
2304,2019-09,Ridgewood,440
2305,2019-09,Riverdale/North Riverdale/Fieldston,334
2306,2019-09,Rockaway Park,139
2307,2019-09,Roosevelt Island,75
2308,2019-09,Rosedale,280
2309,2019-09,Saint Albans,981
2310,2019-09,Saint George/New Brighton,16
2311,2019-09,Saint Michaels Cemetery/Woodside,54
2312,2019-09,Schuylerville/Edgewater Park,516
2313,2019-09,Seaport,67
2314,2019-09,Sheepshead Bay,2132
2315,2019-09,SoHo,3
2316,2019-09,Soundview/Bruckner,994
2317,2019-09,Soundview/Castle Hill,1441
2318,2019-09,South Beach/Dongan Hills,3
2319,2019-09,South Jamaica,714
2320,2019-09,South Ozone Park,761
2321,2019-09,South Williamsburg,325
2322,2019-09,Springfield Gardens North,538
2323,2019-09,Springfield Gardens South,249
2324,2019-09,Spuyten Duyvil/Kingsbridge,791
2325,2019-09,Stapleton,14
2326,2019-09,Starrett City,675
2327,2019-09,Steinway,5334
2328,2019-09,Stuy Town/Peter Cooper Village,40
2329,2019-09,Stuyvesant Heights,2058
2330,2019-09,Sunnyside,2949
2331,2019-09,Sunset Park East,391
2332,2019-09,Sunset Park West,672
2333,2019-09,Sutton Place/Turtle Bay North,53
2334,2019-09,Times Sq/Theatre District,47
2335,2019-09,TriBeCa/Civic Center,134
2336,2019-09,Two Bridges/Seward Park,98
2337,2019-09,UN/Turtle Bay South,48
2338,2019-09,Union Sq,27
2339,2019-09,University Heights/Morris Heights,1101
2340,2019-09,Upper East Side North,1129
2341,2019-09,Upper East Side South,67
2342,2019-09,Upper West Side North,114
2343,2019-09,Upper West Side South,34
2344,2019-09,Van Cortlandt Park,79
2345,2019-09,Van Cortlandt Village,619
2346,2019-09,Van Nest/Morris Park,1894
2347,2019-09,Washington Heights North,2376
2348,2019-09,Washington Heights South,11115
2349,2019-09,West Brighton,3
2350,2019-09,West Chelsea/Hudson Yards,23
2351,2019-09,West Concourse,2105
2352,2019-09,West Farms/Bronx River,521
2353,2019-09,West Village,12
2354,2019-09,Westchester Village/Unionport,690
2355,2019-09,Westerleigh,6
2356,2019-09,Whitestone,165
2357,2019-09,Willets Point,164
2358,2019-09,Williamsbridge/Olinville,1033
2359,2019-09,Williamsburg (North Side),5108
2360,2019-09,Williamsburg (South Side),2061
2361,2019-09,Windsor Terrace,317
2362,2019-09,Woodhaven,353
2363,2019-09,Woodlawn/Wakefield,466
2364,2019-09,Woodside,9237
2365,2019-09,World Trade Center,26
2366,2019-09,Yorkville East,51
2367,2019-09,Yorkville West,364
2368,2019-10,Allerton/Pelham Gardens,537
2369,2019-10,Alphabet City,83
2370,2019-10,Arrochar/Fort Wadsworth,2
2371,2019-10,Astoria,18935
2372,2019-10,Astoria Park,5
2373,2019-10,Auburndale,287
2374,2019-10,Baisley Park,706
2375,2019-10,Bath Beach,354
2376,2019-10,Battery Park,3
2377,2019-10,Battery Park City,25
2378,2019-10,Bay Ridge,1488
2379,2019-10,Bay Terrace/Fort Totten,212
2380,2019-10,Bayside,370
2381,2019-10,Bedford,2901
2382,2019-10,Bedford Park,849
2383,2019-10,Bellerose,271
2384,2019-10,Belmont,530
2385,2019-10,Bensonhurst East,619
2386,2019-10,Bensonhurst West,840
2387,2019-10,Bloomfield/Emerson Hill,19
2388,2019-10,Bloomingdale,1871
2389,2019-10,Boerum Hill,8074
2390,2019-10,Borough Park,866
2391,2019-10,Breezy Point/Fort Tilden/Riis Beach,6
2392,2019-10,Briarwood/Jamaica Hills,666
2393,2019-10,Brighton Beach,857
2394,2019-10,Broad Channel,8
2395,2019-10,Bronx Park,152
2396,2019-10,Bronxdale,617
2397,2019-10,Brooklyn Heights,11160
2398,2019-10,Brooklyn Navy Yard,221
2399,2019-10,Brownsville,1965
2400,2019-10,Bushwick North,1043
2401,2019-10,Bushwick South,1262
2402,2019-10,Cambria Heights,315
2403,2019-10,Canarsie,1924
2404,2019-10,Carroll Gardens,1818
2405,2019-10,Central Harlem,25312
2406,2019-10,Central Harlem North,15515
2407,2019-10,Central Park,5280
2408,2019-10,Charleston/Tottenville,1
2409,2019-10,Chinatown,161
2410,2019-10,City Island,102
2411,2019-10,Claremont/Bathgate,689
2412,2019-10,Clinton East,179
2413,2019-10,Clinton Hill,3527
2414,2019-10,Clinton West,71
2415,2019-10,Co-Op City,1539
2416,2019-10,Cobble Hill,4104
2417,2019-10,College Point,164
2418,2019-10,Columbia Street,183
2419,2019-10,Coney Island,2128
2420,2019-10,Corona,2484
2421,2019-10,Country Club,68
2422,2019-10,Crotona Park,33
2423,2019-10,Crotona Park East,430
2424,2019-10,Crown Heights North,4612
2425,2019-10,Crown Heights South,1280
2426,2019-10,Cypress Hills,508
2427,2019-10,DUMBO/Vinegar Hill,7562
2428,2019-10,Douglaston,118
2429,2019-10,Downtown Brooklyn/MetroTech,10623
2430,2019-10,Dyker Heights,304
2431,2019-10,East Chelsea,172
2432,2019-10,East Concourse/Concourse Village,1985
2433,2019-10,East Elmhurst,584
2434,2019-10,East Flatbush/Farragut,1385
2435,2019-10,East Flatbush/Remsen Village,1568
2436,2019-10,East Flushing,142
2437,2019-10,East Harlem North,37287
2438,2019-10,East Harlem South,29592
2439,2019-10,East New York,3014
2440,2019-10,East New York/Pennsylvania Avenue,837
2441,2019-10,East Tremont,963
2442,2019-10,East Village,72
2443,2019-10,East Williamsburg,2236
2444,2019-10,Eastchester,683
2445,2019-10,Elmhurst,22107
2446,2019-10,Elmhurst/Maspeth,2705
2447,2019-10,Erasmus,806
2448,2019-10,Far Rockaway,471
2449,2019-10,Financial District North,116
2450,2019-10,Financial District South,70
2451,2019-10,Flatbush/Ditmas Park,2259
2452,2019-10,Flatiron,107
2453,2019-10,Flatlands,1483
2454,2019-10,Flushing,3919
2455,2019-10,Flushing Meadows-Corona Park,335
2456,2019-10,Fordham South,395
2457,2019-10,Forest Hills,14169
2458,2019-10,Forest Park/Highland Park,47
2459,2019-10,Fort Greene,12453
2460,2019-10,Fresh Meadows,201
2461,2019-10,Garment District,88
2462,2019-10,Glen Oaks,209
2463,2019-10,Glendale,376
2464,2019-10,Gowanus,779
2465,2019-10,Gramercy,141
2466,2019-10,Gravesend,653
2467,2019-10,Green-Wood Cemetery,14
2468,2019-10,Greenpoint,1919
2469,2019-10,Greenwich Village North,69
2470,2019-10,Greenwich Village South,29
2471,2019-10,Grymes Hill/Clifton,75
2472,2019-10,Hamilton Heights,6522
2473,2019-10,Hammels/Arverne,598
2474,2019-10,Heartland Village/Todt Hill,9
2475,2019-10,Highbridge,957
2476,2019-10,Highbridge Park,52
2477,2019-10,Hillcrest/Pomonok,807
2478,2019-10,Hollis,503
2479,2019-10,Homecrest,742
2480,2019-10,Howard Beach,251
2481,2019-10,Hudson Sq,26
2482,2019-10,Hunts Point,502
2483,2019-10,Inwood,1311
2484,2019-10,Inwood Hill Park,79
2485,2019-10,JFK Airport,57
2486,2019-10,Jackson Heights,11354
2487,2019-10,Jamaica,8604
2488,2019-10,Jamaica Bay,3
2489,2019-10,Jamaica Estates,617
2490,2019-10,Kensington,469
2491,2019-10,Kew Gardens,4239
2492,2019-10,Kew Gardens Hills,514
2493,2019-10,Kingsbridge Heights,975
2494,2019-10,Kips Bay,394
2495,2019-10,LaGuardia Airport,74
2496,2019-10,Laurelton,401
2497,2019-10,Lenox Hill East,489
2498,2019-10,Lenox Hill West,222
2499,2019-10,Lincoln Square East,103
2500,2019-10,Lincoln Square West,81
2501,2019-10,Little Italy/NoLiTa,33
2502,2019-10,Long Island City/Hunters Point,3464
2503,2019-10,Long Island City/Queens Plaza,2393
2504,2019-10,Longwood,512
2505,2019-10,Lower East Side,52
2506,2019-10,Madison,514
2507,2019-10,Manhattan Beach,428
2508,2019-10,Manhattan Valley,194
2509,2019-10,Manhattanville,3378
2510,2019-10,Marble Hill,236
2511,2019-10,Marine Park/Floyd Bennett Field,22
2512,2019-10,Marine Park/Mill Basin,957
2513,2019-10,Mariners Harbor,61
2514,2019-10,Maspeth,500
2515,2019-10,Meatpacking/West Village West,10
2516,2019-10,Melrose South,1785
2517,2019-10,Middle Village,306
2518,2019-10,Midtown Center,110
2519,2019-10,Midtown East,101
2520,2019-10,Midtown North,68
2521,2019-10,Midtown South,86
2522,2019-10,Midwood,1016
2523,2019-10,Morningside Heights,19786
2524,2019-10,Morrisania/Melrose,884
2525,2019-10,Mott Haven/Port Morris,1778
2526,2019-10,Mount Hope,896
2527,2019-10,Murray Hill,253
2528,2019-10,Murray Hill-Queens,416
2529,2019-10,New Dorp/Midland Beach,5
2530,2019-10,Newark Airport,14
2531,2019-10,North Corona,1314
2532,2019-10,Norwood,1400
2533,2019-10,Oakland Gardens,148
2534,2019-10,Oakwood,2
2535,2019-10,Ocean Hill,1276
2536,2019-10,Ocean Parkway South,216
2537,2019-10,Old Astoria,2800
2538,2019-10,Ozone Park,148
2539,2019-10,Park Slope,7779
2540,2019-10,Parkchester,1066
2541,2019-10,Pelham Bay,309
2542,2019-10,Pelham Bay Park,20
2543,2019-10,Pelham Parkway,788
2544,2019-10,Penn Station/Madison Sq West,93
2545,2019-10,Port Richmond,15
2546,2019-10,Prospect Heights,1043
2547,2019-10,Prospect Park,294
2548,2019-10,Prospect-Lefferts Gardens,2558
2549,2019-10,Queens Village,560
2550,2019-10,Queensboro Hill,401
2551,2019-10,Queensbridge/Ravenswood,1858
2552,2019-10,Randalls Island,45
2553,2019-10,Red Hook,973
2554,2019-10,Rego Park,4255
2555,2019-10,Richmond Hill,1264
2556,2019-10,Ridgewood,506
2557,2019-10,Riverdale/North Riverdale/Fieldston,398
2558,2019-10,Rockaway Park,155
